therapy_label,disease_label,drug_label,raw_text,geneProtein_label,metastatic,firstLine,acceleratedApproval,negGeProDr_label
Avelumab,Merkel cell carcinoma,"BAVENCIO- avelumab injection, solution, concentrate","
BAVENCIO (avelumab) is indicated for the treatment of adults and pediatric patients 12 years and older with metastatic Merkel cell carcinoma (MCC) [see Clinical Studies (14.1)].",BAVENCIO,Yes,,,
Belinostat,Peripheral T-cell lymphoma,,,*,,,,
Belinostat,Peripheral T-cell lymphoma,,,*,,,,
Belzutifan,Renal Cell Carcinoma,"WELIREG- belzutifan tablet, film coated",,*,,,,
Belzutifan,von Hippel-Lindau disease,"WELIREG- belzutifan tablet, film coated",,*,,,,
Bendamustine Hydrochloride,Chronic lymphocytic leukemia,,,*,,,,
Bendamustine Hydrochloride,B-cell non-Hodgkin lymphoma,,,*,,,,
Bendamustine Hydrochloride,Chronic lymphocytic leukemia,,,*,,,,
Bendamustine Hydrochloride,B-cell non-Hodgkin lymphoma,,,*,,,,
Inotuzumab Ozogamicin,B-cell acute lymphoblastic leukemia,"BESPONSA- inotuzumab ozogamicin injection, powder, lyophilized, for solution",,*,,,,
Ropeginterferon Alfa-2b-njft,Polycythemia vera,BESREMI- ropeginterferon alfa-2b injection,,*,,,,
Bevacizumab,Hepatocellular carcinoma,,,*,,,,
Bevacizumab,Renal cell carcinoma,,,*,,,,
Bevacizumab,Glioblastoma,,,*,,,,
Bevacizumab,Nonsquamous non-small cell lung cancer,,,*,,,,
Bevacizumab,primary peritoneal cancer,,,*,,,,
Bevacizumab,fallopian tube,,,*,,,,
Bevacizumab,Cervical cancer,,,*,,,,
Bevacizumab,Ovarian epithelial,,,*,,,,
Bevacizumab,Colorectal cancer,,,*,,,,
Bexarotene,Skin problems caused by cutaneous T-cell lymphoma,,,*,,,,
Bicalutamide,Prostate cancer,,,*,,,,
Carmustine,Non-Hodgkin lymphoma,,,*,,,,
Carmustine,Brain tumors,,,*,,,,
Carmustine,Multiple myeloma,,,*,,,,
Carmustine,Hodgkin lymphoma,,,*,,,,
Binimetinib,Melanoma,"MEKTOVI- binimetinib tablet, film coated",,*,,,,
Binimetinib,Non-small cell lung cancer,"MEKTOVI- binimetinib tablet, film coated",,*,,,,
Zenocutuzumab-zbco,"
non-smallcelllungcancer
",BIZENGRI- zenocutuzumab injection,,*,,,,
Zenocutuzumab-zbco,"
pancreaticadenocarcinoma
",BIZENGRI- zenocutuzumab injection,,*,,,,
Bleomycin Sulfate,Squamous cell carcinoma of the cervix,,,*,,,,
Bleomycin Sulfate,Squamous cell carcinoma of the vulva,,,*,,,,
Bleomycin Sulfate,Squamous cell carcinoma of the penis,,,*,,,,
Bleomycin Sulfate,Testicular cancer,,,*,,,,
Bleomycin Sulfate,Hodgkin lymphoma,,,*,,,,
Bleomycin Sulfate,Non-Hodgkin lymphoma,,,*,,,,
Bleomycin Sulfate,Squamous cell carcinoma of the head and neck,,,*,,,,
Blinatumomab,B-cell acute lymphoblastic leukemia,BLINCYTO- blinatumomab kit,,*,,,,
Blinatumomab,B-cell acute lymphoblastic leukemia,BLINCYTO- blinatumomab kit,,*,,,,
Bortezomib,Mantle cell lymphoma,,,*,,,,
Bortezomib,Multiple myeloma,,,*,,,,
Bosutinib,Chronic myelogenous leukemia,,,*,,,,
Bosutinib,Chronic myelogenous leukemia,,,*,,,,
Encorafenib,Melanoma,BRAFTOVI- encorafenib capsule,,*,,,,
Encorafenib,Colorectal cancer,BRAFTOVI- encorafenib capsule,,*,,,,
Encorafenib,Non-small cell lung cancer,BRAFTOVI- encorafenib capsule,,*,,,,
Brentuximab Vedotin,ClassicHodgkinlymphoma.,"ADCETRIS- brentuximab vedotin injection, powder, lyophilized, for solution",,*,,,,
Brentuximab Vedotin,high-grade B-cell lymphoma,"ADCETRIS- brentuximab vedotin injection, powder, lyophilized, for solution",,*,,,,
Brentuximab Vedotin,Diffuse large B-cell lymphoma,"ADCETRIS- brentuximab vedotin injection, powder, lyophilized, for solution",,*,,,,
Brentuximab Vedotin,Anaplastic large cell lymphoma,"ADCETRIS- brentuximab vedotin injection, powder, lyophilized, for solution","
ADCETRIS is indicated for the treatment of adult patients with previously untreated sALCL or other CD30-expressing PTCL, including angioimmunoblastic T-cell lymphoma and PTCL not otherwise specified (NOS), in combination with cyclophosphamide, doxorubicin, and prednisone.
 


1.6 Relapsed Systemic Anaplastic Large Cell Lymphoma (sALCL)
ADCETRIS is indicated for the treatment of adult patients with sALCL after failure of at least one prior multi-agent chemotherapy regimen.
 


1.7 Relapsed Primary Cutaneous Anaplastic Large Cell Lymphoma (pcALCL) or CD30-Expressing Mycosis Fungoides (MF)
ADCETRIS is indicated for the treatment of adult patients with pcALCL or CD30-expressing MF who have received prior systemic therapy.",NOS,,Yes,,
Brentuximab Vedotin,Mycosis fungoides,"ADCETRIS- brentuximab vedotin injection, powder, lyophilized, for solution","
ADCETRIS is indicated for the treatment of adult patients with pcALCL or CD30-expressing MF who have received prior systemic therapy.",*,,,,
Brentuximab Vedotin,Peripheral T-cell lymphoma,"ADCETRIS- brentuximab vedotin injection, powder, lyophilized, for solution","
ADCETRIS is indicated for the treatment of adult patients with previously untreated sALCL or other CD30-expressing PTCL, including angioimmunoblastic T-cell lymphoma and PTCL not otherwise specified (NOS), in combination with cyclophosphamide, doxorubicin, and prednisone.",NOS,,Yes,,
Brentuximab Vedotin,Cutaneous anaplastic large cell lymphoma,"ADCETRIS- brentuximab vedotin injection, powder, lyophilized, for solution","
ADCETRIS is indicated for the treatment of adult patients with pcALCL or CD30-expressing MF who have received prior systemic therapy.",*,,,,
Brexucabtagene Autoleucel,precursor B lymphoblastic leukemia,TECARTUS- brexucabtagene autoleucel suspension,,*,,,,
Brexucabtagene Autoleucel,mantle cell lymphoma,TECARTUS- brexucabtagene autoleucel suspension,"
TECARTUS is indicated for the treatment of adult patients with relapsed or refractory mantle cell lymphoma (MCL).",*,,,,
Lisocabtagene Maraleucel,B-cell non-Hodgkin lymphoma,BREYANZI- lisocabtagene maraleucel kit,,*,,,,
Lisocabtagene Maraleucel,follicular lymphoma,BREYANZI- lisocabtagene maraleucel kit,"

BREYANZI is indicated for the treatment of adult patients with relapsed or refractory follicular lymphoma (FL) who have received 2 or more prior lines of systemic therapy.",BREYANZI,,,,
Lisocabtagene Maraleucel,chronic lymphocytic leukemia or small lymphocytic lymphoma,BREYANZI- lisocabtagene maraleucel kit,,*,,,,
Lisocabtagene Maraleucel,mantle cell lymphoma,BREYANZI- lisocabtagene maraleucel kit,"
BREYANZI is indicated for the treatment of adult patients with relapsed or refractory mantle cell lymphoma (MCL) who have received at least 2 prior lines of systemic therapy, including a Bruton tyrosine kinase (BTK) inhibitor.","Bruton tyrosine kinase, BTK, BREYANZI",,,,
Brigatinib,Non-small cell lung cancer,"ALUNBRIG- brigatinib tablet, film coated",,*,,,,
Zanubrutinib,Marginal zone lymphoma,BRUKINSA- zanubrutinib capsule,"
BRUKINSA is indicated for the treatment of adult patients with relapsed or refractory marginal zone lymphoma (MZL) who have received at least one anti–CD20-based regimen.
This indication is approved under accelerated approval based on overall response rate  [see Clinical Studies (14.3)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial.",*,,,Yes,
Zanubrutinib,Chronic lymphocytic leukemia or small lymphocytic lymphoma,BRUKINSA- zanubrutinib capsule,"
BRUKINSA is indicated for the treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL) [see Clinical Studies (14.4)].",*,,,,
Zanubrutinib,Mantle cell lymphoma,BRUKINSA- zanubrutinib capsule,"
BRUKINSA is indicated for the treatment of adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy.
This indication is approved under accelerated approval based on overall response rate [see Clinical Studies (14.1)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial.",*,,,Yes,
Zanubrutinib,Follicular lymphoma,BRUKINSA- zanubrutinib capsule,"
BRUKINSA is indicated for the treatment of adult patients with relapsed or refractory follicular lymphoma (FL), in combination with obinutuzumab, after two or more lines of systemic therapy.
This indication is approved under accelerated approval based on response rate and durability of response [see Clinical Studies (14.5)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial.",*,,,Yes,
Zanubrutinib,Waldenström macroglobulinemia,BRUKINSA- zanubrutinib capsule,,*,,,,
Busulfan,Chronic myelogenous leukemia,,,*,,,,
Busulfan,Chronic myelogenous leukemia,,,*,,,,
Cabazitaxel,Prostate cancer,JEVTANA- cabazitaxel kit,,*,,,,
Caplacizumab-yhdp,Acquired thrombotic thrombocytopenic purpura,CABLIVI- caplacizumab kit,,*,,,,
Cabozantinib-S-Malate,Hepatocellular carcinoma,,,*,,,,
Cabozantinib-S-Malate,Renal cell carcinoma,,,*,,,,
Cabozantinib-S-Malate,Neuroendocrine tumor,,,*,,,,
Cabozantinib-S-Malate,Medullary thyroid cancer,,,*,,,,
Cabozantinib-S-Malate,Differentiated thyroid cancer,,,*,,,,
Cabozantinib-S-Malate,Hepatocellular carcinoma,,,*,,,,
Cabozantinib-S-Malate,Renal cell carcinoma,,,*,,,,
Cabozantinib-S-Malate,Neuroendocrine tumor,,,*,,,,
Cabozantinib-S-Malate,Medullary thyroid cancer,,,*,,,,
Cabozantinib-S-Malate,Differentiated thyroid cancer,,,*,,,,
Acalabrutinib Maleate Monohydrate,Chronic lymphocytic leukemia,"CALQUENCE- acalabrutinib capsule, gelatin coated","
CALQUENCE is indicated for the treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL).",*,,,,
Acalabrutinib Maleate Monohydrate,Mantle cell lymphoma,"CALQUENCE- acalabrutinib capsule, gelatin coated","
CALQUENCE in combination with bendamustine and rituximab is indicated for the treatment of adult patients with previously untreated mantle cell lymphoma (MCL) who are ineligible for autologous hematopoietic stem cell transplantation (HSCT).
 


1.2 Previously Treated Mantle Cell Lymphoma 
CALQUENCE is indicated for the treatment of adult patients with MCL who have received at least one prior therapy.",*,,Yes,,
Acalabrutinib Maleate Monohydrate,small lymphocytic lymphoma,"CALQUENCE- acalabrutinib capsule, gelatin coated","
CALQUENCE is indicated for the treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL).",*,,,,
Alemtuzumab,B-cell chronic lymphocytic leukemia,CAMPATH- alemtuzumab injection,,*,,,,
Irinotecan Hydrochloride,Colorectal cancer,,,*,,,,
Capecitabine,Pancreatic adenocarcinoma,,,*,,,,
Capecitabine,gastroesophageal junction cancer,,,*,,,,
Capecitabine,Colorectal cancer,,,*,,,,
Capecitabine,Stomach (gastric) cancer,,,*,,,,
Capecitabine,Breast cancer,,,*,,,,
Capecitabine,esophageal cancer,,,*,,,,
Capivasertib,Breast cancer,"TRUQAP- capivasertib tablet, film coated",,*,,,,
Caplacizumab-yhdp,Acquired thrombotic thrombocytopenic purpura,CABLIVI- caplacizumab kit,,*,,,,
Capmatinib Hydrochloride,Non-small cell lung cancer,"TABRECTA- capmatinib tablet, film coated",,*,,,,
Fluorouracil (Topical),Actinic keratosis,,,*,,,,
Carboplatin,Ovarian cancer,,,*,,,,
Carfilzomib,Multiple myeloma,"KYPROLIS- carfilzomib injection, powder, lyophilized, for solution","

Kyprolis is indicated for the treatment of adult patients with relapsed or refractory multiple myeloma who have received one to three lines of therapy in combination with:
Lenalidomide and dexamethasone; or
Dexamethasone; or
Daratumumab and dexamethasone; or
Daratumumab and hyaluronidase-fihj and dexamethasone; or
Isatuximab and dexamethasone.


Kyprolis is indicated as a single agent for the treatment of adult patients with relapsed or refractory multiple myeloma who have received one or more lines of therapy.",*,,,,
Carmustine,Non-Hodgkin lymphoma,,,*,,,,
Carmustine,Brain tumors,,,*,,,,
Carmustine,Multiple myeloma,,,*,,,,
Carmustine,Hodgkin lymphoma,,,*,,,,
Carmustine Implant,Glioblastoma multiforme,GLIADEL- carmustine wafer,,*,,,,
Carmustine Implant,Malignant glioma,GLIADEL- carmustine wafer,,*,,,,
Ciltacabtagene Autoleucel,multiple myeloma,"CARVYKTI- ciltacabtagene autoleucel injection, suspension",,*,,,,
Bicalutamide,Prostate cancer,,,*,,,,
Cemiplimab-rwlc,(BCC),LIBTAYO- cemiplimab-rwlc injection,,*,,,,
Cemiplimab-rwlc,Basal cell carcinoma,LIBTAYO- cemiplimab-rwlc injection,"
LIBTAYO is indicated for the treatment of adult patients with locally advanced or metastatic basal cell carcinoma (laBCC or mBCC) who have been previously treated with a hedgehog pathway inhibitor or for whom a hedgehog pathway inhibitor is not appropriate.","hedgehog, LIBTAYO",Yes,,,
Cemiplimab-rwlc,Cutaneous squamous cell carcinoma,LIBTAYO- cemiplimab-rwlc injection,"
LIBTAYO is indicated for the treatment of adult patients with metastatic cutaneous squamous cell carcinoma (mCSCC) or locally advanced CSCC (laCSCC) who are not candidates for curative surgery or curative radiation.

LIBTAYO is indicated for the adjuvant treatment of adult patients with CSCC at high risk of recurrence [see Clinical Studies (14.1)] after surgery and radiation.",LIBTAYO,Yes,,,
Cemiplimab-rwlc,Non-small cell lung cancer,LIBTAYO- cemiplimab-rwlc injection,"
LIBTAYO in combination with platinum‐based chemotherapy is indicated for the first‐line treatment of adult patients with non-small cell lung cancer (NSCLC) with no EGFR, ALK or ROS1 aberrations and is:

locally advanced where patients are not candidates for surgical resection or definitive chemoradiation or
metastatic.

LIBTAYO as a single agent is indicated for the first-line treatment of adult patients with NSCLC whose tumors have high PD-L1 expression [Tumor Proportion Score (TPS) ≥50%] as determined by an FDA-approved test [see Dosage and Administration (2.1)], with no EGFR, ALK or ROS1 aberrations, and is:

locally advanced where patients are not candidates for surgical resection or definitive chemoradiation or
metastatic.","PD-L1, EGFR, ALK, LIBTAYO, ROS1",Yes,Yes,,
Ceritinib,Non-small cell lung cancer,"ZYKADIA- ceritinib tablet, film coated",,*,,,,
Cetuximab,Colorectal cancer,ERBITUX- cetuximab solution,"
ERBITUX is indicated for the treatment of K-Ras wild-type, epidermal growth factor receptor (EGFR)-expressing, metastatic colorectal cancer (mCRC) as determined by an FDA-approved test [see
Dosage and Administration (2.2)]:


in combination with FOLFIRI (irinotecan, fluorouracil, leucovorin) for first-line treatment,

in combination with irinotecan in patients who are refractory to irinotecan-based chemotherapy,

as a single-agent in patients who have failed oxaliplatin- and irinotecan-based chemotherapy or who are intolerant to irinotecan.



Limitations of Use: ERBITUX is not indicated for treatment of Ras-mutant colorectal cancer or when the results of the Ras mutation tests are unknown [see Warnings and Precautions (5.7)].","Ras, K-Ras, epidermal growth factor receptor",Yes,Yes,,
Cetuximab,Squamous cell carcinoma of the head and neck,ERBITUX- cetuximab solution,"
ERBITUX® is indicated:


in combination with radiation therapy for the initial treatment of locally or regionally advanced squamous cell carcinoma of the head and neck (SCCHN).

in combination with platinum-based therapy with fluorouracil for the first-line treatment of patients with recurrent locoregional disease or metastatic SCCHN.

as a single-agent for the treatment of patients with recurrent or metastatic SCCHN for whom prior platinum-based therapy has failed.",*,Yes,Yes,,
